method,final_old_acc,final_old_mf1,final_seen_acc,final_seen_mf1,bwt_acc,mean_current_acc_gain,pseudo_sequence_coverage,final_buffer_sequences
Finetune,0.22473958333333333,0.21653702795614388,0.2510245901639344,0.2057588052284292,-0.019569672131147544,0.03299180327868853,1.0,0
EWC,0.2296875,0.2231926207586939,0.25471311475409836,0.20732029621095766,-0.014856557377049185,0.024590163934426236,1.0,0
Online EWC,0.22317708333333333,0.2154875722118779,0.2482581967213115,0.2033719821010927,-0.017418032786885234,0.026741803278688525,1.0,0
SI,0.23671875,0.23147761681156803,0.24098360655737708,0.19336646751186098,0.00010245901639344544,0.0025614754098360654,1.0,0
MAS,0.23177083333333334,0.22283036327217529,0.24579918032786885,0.19250362730522677,0.0008196721311475399,0.004508196721311477,1.0,0
BrainUICL,0.246875,0.2347253985851241,0.2661885245901639,0.22063177470506135,0.0033811475409836066,0.006352459016393475,0.18032786885245902,328
