method,protocol,final_old_acc,final_old_mf1,mean_current_after_acc,mean_current_after_mf1,final_seen_acc,final_seen_mf1,bwt_acc,pseudo_sequence_coverage,final_buffer_sequences
Finetune,No replay; all hard pseudo labels; frozen student BN stats,0.6064670658682635,0.5901686443725713,0.643026444360296,0.5640040063619828,0.5489440311382925,0.4712430172438497,-0.09408241322200352,,
EWC,No replay; all hard pseudo labels; frozen student BN stats,0.6901796407185629,0.6613776327509607,0.6524450531108745,0.562788165948723,0.6284776709367609,0.5320934117996583,-0.023967382174113684,,
Online EWC,No replay; all hard pseudo labels; frozen student BN stats,0.6950898203592815,0.6669250288967418,0.6469687838064233,0.5537055523893145,0.6366556824477952,0.5390771775474401,-0.010313101358627988,,
SI,No replay; all hard pseudo labels; frozen student BN stats,0.7119760479041917,0.6927465243558752,0.6501682004050936,0.5576379139731757,0.6484642388044258,0.5556453306876765,-0.0017039616006677767,,
MAS,No replay; all hard pseudo labels; frozen student BN stats,0.7068862275449102,0.6848498032780446,0.6465362218602957,0.5560372790156342,0.6431573790218978,0.5524413695029102,-0.0033788428383978,,
BrainUICL,Replay; confidence threshold 0.9; frozen student BN stats,0.7325748502994012,0.6995213664556343,0.6622528250335527,0.5875832574571541,0.6761961791332597,0.6067361949913146,0.013943354099706994,0.44227188081936686,1980
